0 -1475 15 0, 0 -1480 15 90, 3 -1480 15 0, 17 -50 15 90, -18 -75 15 0, -40 -70 15 0, -50 -60 15 0, -60 -55 15 0, -75 -20 15 0, -75 0 15 0
-10 -1475 14 0, 4 -1480 14 90, 3 -1440 14 0, 17 -50 15 90, -18 -75 15 0, -40 -70 15 0, -50 -60 15 0, -60 -55 15 0, -75 -20 15 0, -75 0 15 0
-10 -1475 13 0, 4 -1480 13 90, 3 -1440 14 0, 17 -50 15 90, -18 -75 15 0, -40 -70 15 0, -50 -60 15 0, -60 -55 15 0, -75 -20 15 0, -75 0 15 0
-10 -1475 12 0, 4 -1480 12 90, 3 -1440 12 0, 17 -50 15 90, -18 -75 15 0, -40 -70 15 0, -50 -60 15 0, -60 -55 15 0, -75 -20 15 0, -75 0 15 0
-10 -1475 11 0, 4 -1480 11 90, 3 -1440 11 0, 17 -50 15 90, -18 -75 15 0, -40 -70 15 0, -50 -60 15 0, -60 -55 15 0, -75 -20 15 0, -75 0 15 0
-10 -1475 10 0, 4 -1480 10 90, 3 -1440 10 0, 17 -50 15 90, -18 -75 15 0, -40 -70 15 0, -50 -60 15 0, -60 -55 15 0, -75 -20 15 0, -75 0 15 0
-10 -1475 9 0, 4 -1480 9 90, 3 -1440 9 0, 17 -50 15 90, -18 -75 15 0, -40 -70 15 0, -50 -60 15 0, -60 -55 15 0, -75 -20 15 0, -75 0 15 0
-10 -1475 8 0, 4 -1480 8 90, 3 -1440 8 0, 17 -50 15 90, -18 -75 15 0, -40 -70 15 0, -50 -60 15 0, -60 -55 15 0, -75 -20 15 0, -75 0 15 0
-10 -1475 7 0, 4 -1480 7 90, 3 -1440 7 0, 17 -50 15 90, -18 -75 15 0, -40 -70 15 0, -50 -60 15 0, -60 -55 15 0, -75 -20 15 0, -75 0 15 0
-10 -1475 6 0, 4 -1480 6 90, 3 -1440 6 0, 17 -50 15 90, -18 -75 15 0, -40 -70 15 0, -50 -60 15 0, -60 -55 15 0, -75 -20 15 0, -75 0 15 0
